Set	Exercise Name	Time	Rest	Reps	Weight	Volume
1	Lat Pull-down	1:29.4	2:28.6	12	32 kg	384 kg
2	Lat Pull-down	0:59.9	2:39.4	10	35 kg	350 kg
3	Lat Pull-down	1:03.7	3:52.0	10	35 kg	350 kg
4	Lat Pull-down	1:04.0	2:19.8	10	40 kg	400 kg
5	Weighted GHD Back Extensions	0:59.8	2:03.8	10	42 kg	420 kg
6	Weighted GHD Back Extensions	1:16.8	2:04.9	12	42 kg	504 kg
7	Weighted GHD Back Extensions	1:08.6	1:56.8	12	43 kg	516 kg
8	Weighted GHD Back Extensions	1:05.3	2:58.1	11	45 kg	495 kg
9	Band-assisted Chin-up	1:01.1	2:33.2	6	Bodyweight	Bodyweight
10	Band-assisted Chin-up	0:52.3	2:33.7	6	Bodyweight	Bodyweight
11	Band-assisted Chin-up	1:19.8	2:11.0	7	Bodyweight	Bodyweight
12	Weighted Side Bend	1:43.4	1:12.9	30	6 kg	180 kg
13	Weighted Side Bend	1:37.8	1:21.0	30	6 kg	180 kg
14	Weighted Side Bend	3:25.4	0:00	30	6 kg	180 kg
